time (milliseconds),x,y,z
1682889337299,7.623509480117036,-2.9758966889821465,20.0
1682889337304,7.924057769874659,-2.732315565771783,20.0
1682889337309,6.271644575293617,-2.827864951809293,20.0
1682889337314,5.764574099410079,-2.905846032276437,20.0
1682889337319,5.412921121994453,-2.941264488208009,20.0
1682889337324,5.262453057834837,-2.96497944729681,20.0
1682889337329,5.333573139731493,-2.9868862847122375,20.0
1682889337334,5.3691751321621854,-3.027529079866561,20.0
1682889337339,5.239296447544964,-3.0543004393022994,20.0
1682889337344,5.153478522822079,-3.0927094438602847,20.0
1682889337349,5.106968479975446,-3.1389530629012037,20.0
1682889337354,5.0861376845714314,-3.1828712283115843,20.0
1682889337359,5.068495439206121,-3.2249031040128306,20.0
1682889337364,5.0922223197235414,-3.254691554574971,20.0
1682889337369,5.118799639206129,-3.279148058224522,20.0
1682889337374,5.1294678050381926,-3.3076551512147994,20.0
1682889337379,5.143292233321445,-3.331872572880268,20.0
1682889337384,5.1609602584570835,-3.3452741398539065,20.0
1682889337389,5.187628935037151,-3.3592450673680663,20.0
1682889337394,5.273303879466144,-3.353906339216773,20.0
1682889337399,5.338785438684784,-3.3501090421070288,20.0
1682889337404,5.404783789342029,-3.3418323449297627,20.0
1682889337409,5.445496640286539,-3.3367450092430175,20.0
1682889337414,5.4925931177171785,-3.322715314208296,20.0
1682889337419,5.52073867307371,-3.316086562331581,20.0
1682889337424,5.5381815468903834,-3.313771374111174,20.0
1682889337429,5.5602095011262325,-3.3152302441762327,20.0
1682889337434,5.585967893207272,-3.31777902081432,20.0
1682889337439,5.61190155385371,-3.32211041375444,20.0
1682889337444,5.6602689321859785,-3.3249414815687994,20.0
1682889337449,5.696925532945532,-3.3325681214117524,20.0
1682889337454,5.746970913604913,-3.3395295511114202,20.0
1682889337459,5.8019788197527635,-3.3459813001322445,20.0
1682889337464,5.865875438574269,-3.3544440081571647,20.0
1682889337469,5.924640204356954,-3.3647482143592877,20.0
1682889337474,5.965733058645326,-3.367373364635646,20.0
1682889337479,6.004300192800085,-3.3695067046414797,20.0
1682889337484,6.058053078612441,-3.373725293043685,20.0
1682889337489,6.087160009360431,-3.3810002318930192,20.0
1682889337494,6.124269696732098,-3.4003047300977123,20.0
1682889337499,6.209461122569365,-3.418782199814971,20.0
1682889337504,6.278635561304794,-3.429257817229448,20.0
1682889337509,6.337182231992703,-3.4435559826597584,20.0
1682889337514,6.393735470451487,-3.451811106559775,20.0
1682889337519,6.441377415923776,-3.4551449740587303,20.0
1682889337524,6.492562758385542,-3.4596598900396365,20.0
1682889337529,6.603742571213881,-3.4768426805109636,20.0
1682889337534,6.676255825360475,-3.4949277553781393,20.0
1682889337539,6.7231058973506155,-3.5074386635110324,20.0
1682889337544,6.756819227600081,-3.52035869832743,20.0
1682889337549,6.782095010523657,-3.52804773864505,20.0
1682889337554,6.817897465561197,-3.5350815176639454,20.0
1682889337559,6.834741217556422,-3.550247161103175,20.0
1682889337564,6.857345018895231,-3.565211331778832,20.0
1682889337569,6.885363012479057,-3.579324710763481,20.0
1682889337574,6.917390231075526,-3.5937449690360945,20.0
1682889337579,6.888571486825966,-3.6295152440627514,20.0
1682889337584,6.996758081945797,-3.67722754178741,20.0
1682889337589,7.0130177438420365,-3.6832158979317677,20.0
1682889337594,7.209160064861856,-3.6899189011029323,20.0
1682889337599,7.370139211889799,-3.7002239072353404,20.0
1682889337604,7.492172013036349,-3.7074906979995688,20.0
1682889337609,7.595929197390934,-3.7105144306348095,20.0
1682889337614,7.713232174906183,-3.7100342633382284,20.0
1682889337619,7.812714480877293,-3.7015668134487543,20.0
1682889337624,7.880738367312218,-3.693428810110127,20.0
1682889337629,7.987476075195987,-3.68579631361376,20.0
1682889337634,8.081567807041827,-3.683353046538117,20.0
1682889337639,7.805722819437733,-3.604300822459367,20.0
1682889337644,7.901185581170234,-3.5901656499766728,20.0
1682889337649,7.965843151717772,-3.574161081880853,20.0
1682889337654,8.026832035519798,-3.5404047518429826,20.0
1682889337659,8.10212922245505,-3.505789530639751,20.0
1682889337664,8.18030707748941,-3.473361339664121,20.0
1682889337669,8.259869329161681,-3.438062811394918,20.0
1682889337674,8.333660494470246,-3.4042011876497584,20.0
1682889337679,8.268311025531277,-3.3116330799873457,20.0
1682889337684,8.335428161281662,-3.2927407910669375,20.0
1682889337689,8.275589707011722,-3.1979065701926928,20.0
1682889337694,8.566957328855178,-3.222072290534619,20.0
1682889337699,8.860669078557466,-3.2424525214283824,20.0
1682889337704,9.118572169799267,-3.259281974021472,20.0
